id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
1454951128768991233,2021-10-31 23:19:15+00:00,Salimos a pedir dulces y nos topamos con la Convención Constituyente en semana distrital. https://t.co/Xj2szdcoGJ,39,299,1132,10,es,,,,51100678,sdelacarrera,Periodista. Director de Mediabanco,2009-06-26 15:31:05+00:00,2531,Santiago de Chile,False,None
1454949811938021383,2021-10-31 23:14:01+00:00,"@aljaque Culpo a la convencion constituyente , con kast estás cosas no van a pasar",0,0,0,0,es,,,,3264161,patoeme,"Optimista pragmatico. 
Creo en la evidencia. La diversidad es una fortaleza. Trato de no atacar a las personas si no lo que hacen. No opino de todo",2007-04-02 23:46:05+00:00,1308,santiago,False,None
1454948307269214209,2021-10-31 23:08:02+00:00,"Lumpen 
Están acostumbrados
Así consiguieron la convención constituyente 🤷🏽‍♂️",0,0,0,0,es,"Place(id='00c4b64e7affea25', fullName='Las Condes, Chile', name='Las Condes', type='city', country='Chile', countryCode='CL')",,,119122512,memovillanueva,"Maratón/UltraTrail/Triatlon Productor de Eventos deportivos, hincha de la UC ⚽️🏀🎾⛹🏽🏊🏻🚴🏻🏃🏻🏌🏽⛰🗻🏜",2010-03-02 18:51:38+00:00,557,"Las Condes, Chile",False,None
1454944449188876292,2021-10-31 22:52:42+00:00,"El convencional por el distrito 10, Manuel Woldarsky, manifestó que se debería extender el plazo de trabajo de la Convención Constituyente a 2 años en total o más.

Jaime Bassa, calificó la petición como “apresurada”, es decir, no lo descarta.

https://t.co/MCyKdGT6li",0,0,0,0,es,,,,120575129,XimeSimple,"Juventud defecto que se corrige con el tiempo.
No discrimino a nadie, los odio a todos por igual 🤭. NO voté por el 🌳 / He viajado desde el 22% hasta el 62%",2010-03-06 21:50:24+00:00,2890,"Santiago, Chile",False,None
1454928349189578752,2021-10-31 21:48:44+00:00,"@conihube Por favor, no sabotee la convención constituyente, la mayoría de los chilenos tenemos nuestra esperanza en ella para las generaciones futuras. Q esté bien señora",0,0,0,0,es,,,"[User(username='conihube', id=119234038, displayname='Constanza Hube', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1402313061550145544,Esteban_Roly86,Namaste 🙏 Activista contra el reguetton. La vida es mejor con buena musica !!,2021-06-08 17:14:46+00:00,1422,"Toronto, Canada",False,None
1454927214189891587,2021-10-31 21:44:13+00:00,"@adrian_goodrich Yo creo que deberíamos estar peleando ahora, para dejarle en claro a la Corte Suprema que la #ConvencionConstituyente es un poder autónomo.",0,0,2,0,es,,['ConvencionConstituyente'],"[User(username='adrian_goodrich', id=15896476, displayname='Adrián Goodrich 🌳🇨🇱@🐘', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",113132702,nano1_cl,"Actitud, voluntad, pasión y un cachito de talento. No hay otra receta.
#YoAprueboPlebiscitoDeSalida",2010-02-10 20:28:25+00:00,6235,,False,1454893445227552772
1454923716056518656,2021-10-31 21:30:19+00:00,"@Nicolas15562076 @DMatamala Prisión Mental. Cuando viniste a la Convención Constituyente sólo a sabotear y sin ninguna idea que aportar, los días se te hacen eternos: te descargas en discursos de odio, discriminación y racismo. https://t.co/sexkkBdXZu",2,1,4,0,es,,,"[User(username='Nicolas15562076', id=1358521242513514499, displayname='Nico Rodríguez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DMatamala', id=32754385, displayname='Daniel Matamala', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1304583348141125632,BosqueAzul1,Bosqueazul de Chile Bosquejos de Chile Vozquejas de Chile,2020-09-12 00:51:46+00:00,3737,,False,1454921378604503041
1454922984611794945,2021-10-31 21:27:25+00:00,@melnicksergio Le iría bien en la famosa Convención Constituyente. No es Ahí donde están todos los fenómenos de circo?,0,0,0,0,es,,,"[User(username='melnicksergio', id=622098575, displayname='Sergio I. Melnick', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1192252158005129216,MoisePatriota,"Del 22%, 44% y 62%.
Zurdofóbico y Merluzofóbico!",2019-11-07 01:27:54+00:00,1308,🇨🇱🇨🇱🇨🇱,False,1454220942515785733
1454921227886280710,2021-10-31 21:20:26+00:00,"@ututo2000 @abrosler @OSammartino @mjgmansilla @emerrerre Y no conozco otro caso como el chileno en el cual se superponen una convención constituyente y una elección presidencial. Esto es, el preidente electo no sabe aún cual podría ser la Constitución que marcará su mandato (la segunda vuelta es el 19-12.2021).",1,0,1,0,es,,,"[User(username='ututo2000', id=1430150065, displayname='Ricardo Ramírez-Calvo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='abrosler', id=74176581, displayname='Andrés Rosler', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OSammartino', id=339254354, displayname='O. Pérez Sammartino', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mjgmansilla', id=4374503453, displayname='MJGM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='emerrerre', id=195977227, displayname='M.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",71370207,christilcara,Argentina-Alemania-Tilcara-Buenos Aires-San Isidro-Editor de libros-Música Clásica-Rock-Folklore,2009-09-03 21:54:59+00:00,2773,Buenos Aires,False,1454920498702397447
1454916386946490369,2021-10-31 21:01:12+00:00,En Perú gana fuerza la idea de una Convención Constituyente para cambiar la actual Constitución.,0,0,0,0,es,,,,3426462868,directoalmedio,Analizamos el papel del diario 📰 | Tweets firmados por @nicolasyanez.,2015-08-16 18:25:57+00:00,10747,Chile,False,None
